image,x1,y1,x2,y2,user,day,month,year,hour,minute
J_170823_134140.jpg,1795,415,1518,0,Tyr,26,1,2018,10,41
J_170823_134140.jpg,2375,549,2157,0,Tyr,26,1,2018,10,41
J_170823_134140.jpg,1449,389,1166,0,Tyr,26,1,2018,10,41
J_170823_134140.jpg,3217,3755,3622,4000,Tyr,26,1,2018,10,41
J_170823_134140.jpg,3989,2530,3659,2242,Tyr,26,1,2018,10,41
J_170823_134140.jpg,4804,671,4879,288,Tyr,26,1,2018,10,41
J_170823_134140.jpg,5007,778,5321,48,Tyr,26,1,2018,10,41
J_170823_134140.jpg,5571,1182,6000,703,Tyr,26,1,2018,10,41
J_170823_134154.jpg,4749,3754,5379,3538,Tyr,17,1,2018,14,9
J_170823_134154.jpg,4262,3467,4708,3200,Tyr,17,1,2018,14,9
J_170823_134154.jpg,4287,2964,4590,3062,Tyr,17,1,2018,14,9
J_170823_134154.jpg,3323,513,3338,123,Tyr,17,1,2018,14,9
J_170823_134201.jpg,4615,662,4333,446,Tyr,18,1,2018,12,2
J_170823_134206.jpg,3292,338,3082,0,Tyr,16,1,2018,14,38
J_170823_134206.jpg,5610,621,5169,446,Tyr,16,1,2018,14,38
J_170823_134206.jpg,5221,492,4831,0,Tyr,16,1,2018,14,38
J_170823_134206.jpg,4954,1928,4656,1456,Tyr,16,1,2018,14,38
J_170823_134209.jpg,1353,3089,1662,3760,Tyr,18,1,2018,14,41
J_170823_134209.jpg,394,3206,250,2573,Tyr,18,1,2018,14,41
J_170823_134209.jpg,149,2929,96,2509,Tyr,18,1,2018,14,41
J_170823_134209.jpg,3132,1417,2525,889,Tyr,18,1,2018,14,41
J_170823_134209.jpg,3702,1896,3925,2189,Tyr,18,1,2018,14,41
J_170823_134209.jpg,3979,1907,4256,2189,Tyr,18,1,2018,14,41
J_170823_134209.jpg,1731,3558,1896,4000,Tyr,18,1,2018,14,41
J_170823_134209.jpg,613,3760,485,3403,Tyr,18,1,2018,14,41
J_170823_134225.jpg,0,0,0,0,Tyr,18,1,2018,15,51
J_170823_134227.jpg,0,0,0,0,Tyr,26,1,2018,10,14
J_170823_134337.jpg,0,0,0,0,Tyr,12,1,2018,15,12
J_170823_134340.jpg,4533,682,4107,59,Tyr,15,1,2018,10,20
J_170823_134341.jpg,0,0,0,0,Tyr,18,1,2018,11,54
J_170823_134347.jpg,1405,1826,1610,1313,Tyr,16,1,2018,13,44
J_170823_134348.jpg,4682,2662,5179,3015,Tyr,18,1,2018,16,18
J_170823_134348.jpg,4554,2908,5231,3328,Tyr,18,1,2018,16,18
J_170823_134349.jpg,2312,831,810,272,Tyr,18,1,2018,14,17
J_170823_134349.jpg,5475,2354,6000,2423,Tyr,18,1,2018,14,17
J_170823_134349.jpg,1656,368,911,96,Tyr,18,1,2018,14,17
J_170823_134351.jpg,574,1149,1497,1026,Tyr,17,1,2018,14,10
J_170823_134351.jpg,1703,1718,1062,1703,Tyr,17,1,2018,14,10
J_170823_134351.jpg,174,3113,359,4000,Tyr,17,1,2018,14,10
J_170823_134351.jpg,2646,3236,2246,3949,Tyr,17,1,2018,14,10
J_170823_134351.jpg,2179,3246,2482,2836,Tyr,17,1,2018,14,10
J_170823_134351.jpg,2703,2764,2959,4000,Tyr,17,1,2018,14,10
J_170823_134351.jpg,4528,3221,5282,3051,Tyr,17,1,2018,14,10
J_170823_134351.jpg,4862,1282,5369,1103,Tyr,17,1,2018,14,10
J_170823_134351.jpg,4651,1067,5138,908,Tyr,17,1,2018,14,10
J_170823_134351.jpg,4605,892,5441,682,Tyr,17,1,2018,14,10
J_170823_134357.jpg,0,0,0,0,Tyr,18,1,2018,11,47
J_170823_134358.jpg,3462,2985,3538,4000,Tyr,22,1,2018,10,46
J_170823_134405.jpg,3056,2256,2790,2000,Tyr,16,1,2018,15,53
J_170823_134405.jpg,2867,2846,2759,2385,Tyr,16,1,2018,15,53
J_170823_134405.jpg,2636,3159,2456,2656,Tyr,16,1,2018,15,53
J_170823_134405.jpg,3913,1144,4313,918,Tyr,16,1,2018,15,53
J_170823_134407.jpg,0,0,0,0,Tyr,15,1,2018,16,8
J_170823_134408.jpg,5759,3487,5318,3062,Tyr,22,1,2018,13,46
J_170823_134408.jpg,5918,2400,5590,2087,Tyr,22,1,2018,13,46
J_170823_134412.jpg,4858,2008,4485,1395,Tyr,15,1,2018,13,9
J_170823_134412.jpg,5374,2674,5710,3478,Tyr,15,1,2018,13,9
J_170823_134412.jpg,5550,3776,5140,2621,Tyr,15,1,2018,13,9
J_170823_134412.jpg,5635,3702,5672,3968,Tyr,15,1,2018,13,9
J_170823_134412.jpg,5023,3222,5332,4000,Tyr,15,1,2018,13,9
J_170823_134412.jpg,2658,2642,2354,2258,Tyr,15,1,2018,13,9
J_170823_134412.jpg,1214,751,687,282,Tyr,15,1,2018,13,9
J_170823_134413.jpg,3862,1031,4856,1903,Tyr,18,1,2018,15,57
J_170823_134413.jpg,5390,2333,5354,2144,Tyr,18,1,2018,15,57
J_170823_134413.jpg,5005,3328,5097,3159,Tyr,18,1,2018,15,57
J_170823_134413.jpg,5087,3205,4990,2810,Tyr,18,1,2018,15,57
J_170823_134413.jpg,2128,2492,1482,2056,Tyr,18,1,2018,15,57
J_170823_134413.jpg,1631,2303,892,1692,Tyr,18,1,2018,15,57
J_170823_134413.jpg,1231,3144,851,2605,Tyr,18,1,2018,15,57
J_170823_134413.jpg,1041,3123,579,2477,Tyr,18,1,2018,15,57
J_170823_134413.jpg,1687,3651,1410,3277,Tyr,18,1,2018,15,57
J_170823_134413.jpg,1569,3831,1328,3508,Tyr,18,1,2018,15,57
J_170823_134413.jpg,1703,2662,1026,2051,Tyr,18,1,2018,15,57
J_170823_134430.jpg,4164,3646,4703,2687,Tyr,15,1,2018,11,11
J_170823_134440.jpg,0,0,0,0,Tyr,18,1,2018,16,13
J_170823_134449.jpg,5292,2446,5062,2041,Tyr,17,1,2018,11,11
J_170823_134449.jpg,872,1395,1103,379,Tyr,17,1,2018,11,11
J_170823_134455.jpg,3836,2092,3959,1021,Tyr,22,1,2018,11,11
J_170823_134505.jpg,1092,1790,1715,1593,Tyr,18,1,2018,14,51
J_170823_134505.jpg,4868,2647,4868,2168,Tyr,18,1,2018,14,51
J_170823_134505.jpg,4799,1342,4905,240,Tyr,18,1,2018,14,51
J_170823_134505.jpg,5230,1326,5433,234,Tyr,18,1,2018,14,51
J_170823_134505.jpg,4810,3558,4783,3089,Tyr,18,1,2018,14,51
J_170823_134505.jpg,4916,3228,4900,2967,Tyr,18,1,2018,14,51
J_170823_134505.jpg,4096,3270,4005,2626,Tyr,18,1,2018,14,51
J_170823_134505.jpg,3957,3345,3670,2423,Tyr,18,1,2018,14,51
J_170823_134505.jpg,3744,3457,3601,2615,Tyr,18,1,2018,14,51
J_170823_134505.jpg,5710,346,5859,0,Tyr,18,1,2018,14,51
J_170823_134510.jpg,879,511,714,1193,Tyr,26,1,2018,10,33
J_170823_134510.jpg,1055,900,1348,160,Tyr,26,1,2018,10,33
J_170823_134510.jpg,815,1166,490,2189,Tyr,26,1,2018,10,33
J_170823_134510.jpg,2157,3547,1859,3095,Tyr,26,1,2018,10,33
J_170823_134510.jpg,4059,3398,3989,3100,Tyr,26,1,2018,10,33
J_170823_134510.jpg,5145,1369,5129,756,Tyr,26,1,2018,10,33
J_170823_134510.jpg,4453,1166,4362,937,Tyr,26,1,2018,10,33
J_170823_134510.jpg,3377,2104,3318,1646,Tyr,26,1,2018,10,33
J_170823_134515.jpg,479,309,282,0,Tyr,18,1,2018,14,43
J_170823_134515.jpg,4778,1459,5246,975,Tyr,18,1,2018,14,43
J_170823_134517.jpg,0,0,0,0,Tyr,15,1,2018,10,10
J_170823_134548.jpg,0,0,0,0,Tyr,17,1,2018,15,43
J_170823_134602.jpg,4892,144,4441,0,Tyr,16,1,2018,17,33
J_170823_134602.jpg,2513,3692,2359,4000,Tyr,16,1,2018,17,33
J_170823_134615.jpg,3595,2641,3318,2369,Tyr,15,1,2018,11,3
J_170823_134615.jpg,3949,3118,3359,2569,Tyr,15,1,2018,11,3
